Case_ID,Case Name,Bio,Env,Cog,Id,Sym,C,Φ,Q=C×Φ,Mode,Ω,Integration Type,I,Load,Tension,κ,Outcome,Out(t₀),Out(late),Template_Deficit,FR Risk,Rescue,Walls,Q_calc,Load_calc,Tension_calc,FR_rule,Rescue_rule,Q_ge_12_rule,Q_le_6_rule,Phi_eq_4_rule,Low_C_low_Phi_rule,PR_rule_candidate,Is_FR_t0,Is_FR_late,Is_CR_t0,Is_PR_t0,Is_Clean_CR_PR,Ext,Q_predicted,Tension_predicted,kappa_predicted,Regime_Predicted,Regime_Predicted_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated,Regime_Actual_Normalized,Regime_Predicted_Normalized,Match_Default,Regime_Predicted_TwoLaws_Strict_Normalized,Match_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated_Normalized,Match_TwoLaws_Calibrated,Match,FED_Substrate_Viable,Reboot_Quality,Q_rho,SC_closure,SC_portability,CID,ECC,ID,CAC,Frag_pre,SC_x_CID,SC_x_CAC,z,CL,AV,DD,Noise_pre_raw,Clarity_post_ordinal,Clarity_post_binary,ΔG,Gate_Effect
11,Alexander Hamilton,1,3,3,4,2,4,4,16,T,G,Growth/Global,4,13,9,1.0,MR,MR,MR,0,0,0,1,16,13,9,0,0,1,0,1,0,0,0,0,0,0,0,,16,-3,0.8125,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9317306103359905,0.786842105263158,0.72,1.0,0.4,0.8199999999999998,0.25,0.0125,0.786842105263158,0.4917763157894738,0.8711940789473683,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
12,Alexander Pope,3,2,4,3,3,4,4,16,S,L,Loss/Limitation,3,15,11,1.0,PR,PR,PR,0,0,0,1,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9324241265402624,0.8264705882352942,0.49,1.0,0.4,0.835,0.4,0.0125,0.8264705882352942,0.5785294117647058,0.8748455882352941,1.0,0.0,0.0,1.0,2,1.0,2.7721983056991313,Clarified
13,Alexander the Great,2,3,3,4,3,4,3,12,N,B,Biological/Individual,4,15,11,0.75,MR,MR,MR,0,0,0,1,12,15,11,0,0,1,0,0,0,0,0,0,0,0,0,,12,3,1.25,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,1,1,0.9085415831767686,0.7700000000000001,0.5475,0.8,0.4,0.895,0.225,0.0125,0.6160000000000001,0.4716250000000001,0.7653187499999999,1.0,0.0,0.0,1.0,1,0.0,1.7721983056991313,Clarified
14,Alfred North Whitehead,1,1,4,3,3,4,4,16,D,G,Growth/Global,3,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9345436605827893,0.7700000000000001,0.7175,1.0,0.4,0.76,0.4,0.0125,0.7700000000000001,0.539,0.886225,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
15,Alfred Russel Wallace,3,3,4,2,3,4,4,16,D,G,Growth/Global,4,15,11,1.0,PR,PR,PR,0,0,0,2,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9457775192626151,0.8764705882352941,0.78,1.0,0.3,0.955,0.4,0.025,0.8764705882352941,0.6135294117647059,0.9529705882352941,1.0,0.0,0.0,1.0,2,1.0,2.7721983056991313,Clarified
16,Alfred Wegener,1,2,4,2,2,3,3,9,D,G,Growth/Global,3,11,8,0.56,PR,PR,PR,0,0,0,1,9,11,8,0,0,0,0,0,0,1,0,0,0,1,1,,9,2,1.222222222222222,PR,PR,PR,PR,PR,True,PR,True,PR,True,True,1,1,0.9161593203091782,0.7772727272727273,0.7175,0.8181818181818182,0.4,0.82,0.225,0.0125,0.6359504132231406,0.4760795454545455,0.7970906508264464,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
17,Angela of Foligno,3,2,2,4,4,3,3,9,V,B,Biological/Individual,4,15,12,0.56,SR,SR,SR,0,0,0,2,9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,1.666666666666667,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,1,1,0.8759242664751155,0.74,0.5675,0.6,0.3,0.97,0.07500000000000001,0.025,0.444,0.39775,0.6514624999999999,1.0,0.0,0.0,1.0,3,0.0,3.7721983056991313,Clarified
18,Anita Moorjani,4,1,1,4,4,3,4,12,X,J,Journey/Transmission,4,14,11,0.75,CR,CR,CR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,1,0,1,,12,2,1.166666666666667,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,1,1,0.9248756135324157,0.7928571428571429,0.7475,0.8571428571428571,0.4,0.8800000000000001,0.25,0.0125,0.6795918367346939,0.4955357142857143,0.8368380102040817,3.0,0.0,0.0,3.0,3,1.0,1.9442892728847625,Clarified
19,Ann Lee,2,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,14,11,0.56,MR,MR,MR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,3.0,9,5,1.555555555555556,MR,SR,MR,MR,MR,True,SR,False,MR,True,True,1,1,0.8999822547526249,0.7071428571428572,0.8575,0.6428571428571429,0.4,0.97,0.07500000000000001,0.0125,0.45459183673469394,0.38008928571428574,0.732342474489796,0.0,0.0,0.0,0.0,1,0.0,2.6861528221063153,Clarified
20,Anne Frank,1,4,3,3,3,3,3,9,T,J,Journey/Transmission,4,14,11,0.56,SR,SR,SR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,1.555555555555556,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,1,1,0.8824177426163708,0.7071428571428572,0.6675,0.6428571428571429,0.4,0.8199999999999998,0.07500000000000001,0.0125,0.45459183673469394,0.38008928571428574,0.671842474489796,2.0,0.0,0.0,2.0,3,0.0,2.858243789291947,Clarified
21,Antonio Gramsci,3,4,4,3,2,4,4,16,T,G,Growth/Global,4,16,12,1.0,PR,PR,PR,0,0,0,2,16,16,12,0,0,1,0,1,0,1,0,0,0,1,1,,16,0,1.0,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9436274978790082,0.9,0.72,1.0,0.3,0.8799999999999999,0.4,0.025,0.9,0.63,0.9392500000000001,1.0,0.0,0.0,1.0,2,1.0,2.7721983056991313,Clarified
22,Anwar Sadat,1,4,3,4,3,4,4,16,N,G,Growth/Global,4,15,11,1.0,MR,MR,MR,0,0,0,2,16,15,11,0,0,1,0,1,0,0,0,0,0,0,0,,16,-1,0.9375,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9360657723914058,0.8764705882352941,0.74,1.0,0.3,0.835,0.25,0.025,0.8764705882352941,0.5477941176470589,0.894610294117647,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
23,Archimedes,1,1,4,2,2,4,4,16,D,G,Growth/Global,3,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9323480206896563,0.740909090909091,0.7175,1.0,0.4,0.76,0.4,0.0125,0.740909090909091,0.5186363636363637,0.8744431818181818,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
24,Arthur Koestler,2,4,4,4,3,3,4,12,T,G,Growth/Global,4,17,14,0.75,MR,MR,MR,0,0,0,2,12,17,14,0,0,1,0,1,0,0,0,0,0,0,0,,12,5,1.416666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,1,1,0.9060533856002357,0.7823529411764706,0.72,0.7058823529411765,0.3,0.8799999999999999,0.25,0.025,0.5522491349480969,0.4889705882352941,0.7554571799307959,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
25,August Kekulé,1,1,4,2,4,4,4,16,D,J,Journey/Transmission,4,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9369336428008026,0.7700000000000001,0.7275,1.0,0.4,0.8350000000000001,0.4,0.0125,0.7700000000000001,0.539,0.899475,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
26,Ayaan Hirsi Ali,1,3,4,4,2,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9331233486126896,0.8055555555555556,0.72,1.0,0.4,0.8199999999999998,0.25,0.0125,0.8055555555555556,0.5034722222222222,0.8785624999999999,3.0,0.0,0.0,3.0,1,0.0,-0.0557107271152375,Steady
27,Barbara McClintock,1,2,4,2,3,4,4,16,D,G,Growth/Global,4,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9403032584443721,0.7700000000000001,0.78,1.0,0.4,0.8949999999999999,0.4,0.0125,0.7700000000000001,0.539,0.9189750000000001,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
28,Bayard Rustin,1,3,3,4,3,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9331233486126896,0.8055555555555556,0.72,1.0,0.4,0.8199999999999998,0.25,0.0125,0.8055555555555556,0.5034722222222222,0.8785624999999999,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
29,Beethoven,4,2,4,3,4,4,4,16,S,L,Loss/Limitation,4,17,13,1.0,SR,SR,SR,0,0,0,1,16,17,13,0,0,1,0,1,0,1,0,0,0,0,0,,16,1,1.0625,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,1,1,0.9328504762969294,0.8264705882352942,0.5525,0.9411764705882353,0.4,0.9099999999999999,0.4,0.0125,0.7778546712802769,0.5785294117647058,0.8771076989619377,0.0,0.0,0.0,0.0,3,0.0,4.686152822106315,Clarified
30,Bernadette Soubirous,2,2,1,4,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,SR,SR,SR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,1.444444444444444,MR,SR,SR,SR,MR,False,SR,True,SR,True,False,1,1,0.8956326749969096,0.726923076923077,0.7075,0.6923076923076923,0.4,0.9099999999999999,0.07500000000000001,0.0125,0.5032544378698225,0.39072115384615386,0.7165379068047338,1.0,0.0,0.0,1.0,3,0.0,3.7721983056991313,Clarified
31,Beryl Markham,1,4,3,3,2,3,4,12,N,L,Loss/Limitation,3,13,10,0.75,SR,SR,SR,0,0,0,1,12,13,10,0,0,1,0,1,0,0,0,0,0,0,0,,12,1,1.083333333333333,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,1,1,0.9184054769664185,0.8192307692307693,0.52,0.9230769230769231,0.4,0.76,0.25,0.0125,0.7562130177514794,0.5120192307692308,0.8069589497041422,2.0,0.0,0.0,2.0,3,0.0,2.858243789291947,Clarified
32,Black Elk,2,2,2,3,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,SR,SR,SR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,1.444444444444444,MR,SR,SR,SR,MR,False,SR,True,SR,True,False,1,1,0.8981296694411905,0.726923076923077,0.7075,0.6923076923076923,0.4,0.97,0.07500000000000001,0.0125,0.5032544378698225,0.39072115384615386,0.7255379068047337,0.0,0.0,0.0,0.0,3,0.0,4.686152822106315,Clarified
33,Blaise Pascal,3,1,4,4,4,4,4,16,A,J,Journey/Transmission,4,16,12,1.0,MR,MR,MR,0,0,0,3,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.933845154565233,0.9500000000000001,0.6475,1.0,0.19999999999999996,0.8049999999999999,0.25,0.037500000000000006,0.9500000000000001,0.59375,0.8824375000000001,1.0,0.0,0.0,1.0,1,0.0,1.7721983056991313,Clarified
34,Booker T. Washington,1,3,3,4,3,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9331233486126896,0.8055555555555556,0.72,1.0,0.4,0.8199999999999998,0.25,0.0125,0.8055555555555556,0.5034722222222222,0.8785624999999999,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
35,Buckminster Fuller,2,3,4,4,3,4,4,16,V,G,Growth/Global,4,16,12,1.0,PR,PR,PR,0,0,0,2,16,16,12,0,0,1,0,1,0,0,0,0,0,1,1,,16,0,1.0,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9418256151217792,0.9,0.76,1.0,0.3,0.97,0.25,0.025,0.9,0.5625,0.9281250000000001,2.0,0.0,0.0,2.0,2,1.0,1.8582437892919468,Clarified
36,Buddha,2,3,3,4,4,4,4,16,N,G,Growth/Global,4,16,12,1.0,CR,CR,CR,0,0,0,2,16,16,12,0,0,1,0,1,0,0,0,0,1,0,1,,16,0,1.0,CR,CR,CR,CR,CR,True,CR,True,CR,True,True,1,1,0.9392677087073756,0.9,0.74,1.0,0.3,0.895,0.25,0.025,0.9,0.5625,0.912875,1.0,0.0,0.0,1.0,3,1.0,3.7721983056991313,Clarified
37,Byron Katie,2,2,3,4,3,3,4,12,V,G,Growth/Global,4,14,11,0.75,CR,CR,CR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,1,0,1,,12,2,1.166666666666667,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,1,1,0.9281434166896978,0.7928571428571429,0.76,0.8571428571428571,0.4,0.97,0.25,0.0125,0.6795918367346939,0.4955357142857143,0.8528380102040817,1.0,0.0,0.0,1.0,3,1.0,3.7721983056991313,Clarified
38,C.S. Lewis,1,1,4,4,3,4,4,16,N,B,Biological/Individual,4,13,9,1.0,MR,MR,MR,0,0,0,2,16,13,9,0,0,1,0,1,0,0,0,0,0,0,0,,16,-3,0.8125,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9237567390419986,0.8368421052631579,0.5475,1.0,0.3,0.7750000000000001,0.25,0.025,0.8368421052631579,0.5230263157894737,0.8315065789473685,3.0,0.0,0.0,3.0,1,0.0,-0.0557107271152375,Steady
39,Cardinal Richelieu,2,3,3,3,3,4,3,12,N,B,Biological/Individual,3,14,10,0.75,MR,MR,MR,0,0,0,1,12,14,10,0,0,1,0,0,0,0,0,0,0,0,0,,12,2,1.166666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,1,1,0.9097268412605143,0.7928571428571429,0.485,0.8571428571428571,0.4,0.8200000000000001,0.225,0.0125,0.6795918367346939,0.4856250000000001,0.7701014030612244,1.0,0.0,0.0,1.0,1,0.0,1.7721983056991313,Clarified
40,Carl Jung,2,2,4,4,4,4,3,12,V,L,Loss/Limitation,4,16,12,0.75,SR,SR,SR,0,0,0,2,12,16,12,0,0,1,0,0,0,0,0,0,0,0,0,,12,4,1.333333333333333,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,1,1,0.9077109088402335,0.8,0.6025,0.75,0.3,0.97,0.225,0.025,0.6000000000000001,0.49000000000000005,0.7620000000000001,2.0,0.0,0.0,2.0,3,0.0,2.858243789291947,Clarified
41,Carl Linnaeus,1,1,4,2,2,4,4,16,D,G,Growth/Global,4,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.936706036623394,0.740909090909091,0.78,1.0,0.4,0.8350000000000001,0.4,0.0125,0.740909090909091,0.5186363636363637,0.8981931818181818,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
42,Catherine of Genoa,2,2,2,4,4,3,4,12,V,B,Biological/Individual,4,14,11,0.75,SR,SR,SR,0,0,0,2,12,14,11,0,0,1,0,1,0,0,0,0,0,0,0,,12,2,1.166666666666667,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,1,1,0.9200786269762683,0.8428571428571429,0.5675,0.8571428571428571,0.3,0.97,0.25,0.025,0.7224489795918367,0.5267857142857143,0.8144719387755102,0.0,0.0,0.0,0.0,3,0.0,4.686152822106315,Clarified
43,Catherine of Siena,3,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,15,12,0.56,SR,SR,SR,0,0,0,2,9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,1.666666666666667,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,1,1,0.8847689709736145,0.74,0.7075,0.6,0.3,0.97,0.07500000000000001,0.025,0.444,0.39775,0.6794625,1.0,0.0,0.0,1.0,3,0.0,3.7721983056991313,Clarified
44,Charles Babbage,1,2,4,2,2,4,3,12,D,B,Biological/Individual,3,11,7,0.75,PR,PR,PR,0,0,0,1,12,11,7,0,0,1,0,0,0,1,0,0,0,1,1,,12,-1,0.9166666666666666,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,1,1,0.9317655851951696,0.8192307692307692,0.525,1.0,0.4,0.82,0.375,0.0125,0.8192307692307692,0.5632211538461538,0.8713774038461538,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
45,Charles Darwin,1,1,4,3,2,4,4,16,N,G,Growth/Global,4,11,7,1.0,PR,PR,PR,0,0,0,1,16,11,7,0,0,1,0,1,0,1,0,0,0,1,1,,16,-5,0.6875,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.934649757312744,0.7547619047619049,0.74,1.0,0.4,0.7750000000000001,0.4,0.0125,0.7547619047619049,0.5283333333333333,0.8868035714285716,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
46,Charles Manson,1,3,1,4,2,2,1,2,T,C,Chaos/Fragmentation,4,11,9,0.12,FR,FR,FR,1,1,0,3,2,11,9,1,0,0,1,0,1,0,1,1,0,0,0,,2,9,5.5,FR,FR,FR,FR,FR,True,FR,True,FR,True,True,0,0,0.460410973922466,0.6227272727272728,0.37,0.18181818181818182,0.0,0.76,-0.9083333333333333,0.9208333333333334,0.11322314049586778,0.028541666666666674,-0.052896091597796124,0.0,1.0,2.0,3.0,0,0.0,-1.0557107271152375,Deteriorated
47,Charles Steinmetz,4,2,4,3,2,4,4,16,S,L,Loss/Limitation,3,15,11,1.0,PR,PR,PR,0,0,0,1,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9324241265402624,0.8264705882352942,0.49,1.0,0.4,0.835,0.4,0.0125,0.8264705882352942,0.5785294117647058,0.8748455882352941,0.0,0.0,0.0,0.0,2,1.0,3.6861528221063153,Clarified
48,Chris McCandless,2,4,2,4,3,2,2,4,T,C,Chaos/Fragmentation,4,15,13,0.25,FR,FR,FR,1,1,0,2,4,15,13,1,0,0,1,0,1,0,1,1,0,0,0,,4,11,3.75,FR,FR,FR,FR,FR,True,FR,True,FR,True,True,0,0,0.49856042064451034,0.6066666666666667,0.37,0.26666666666666666,0.0,0.8799999999999999,-0.8833333333333333,0.9083333333333334,0.16177777777777777,0.0353888888888889,-0.0019194444444445014,0.0,1.0,2.0,3.0,0,0.0,-1.0557107271152375,Deteriorated
49,Christy Brown,4,2,3,3,3,4,4,16,S,L,Loss/Limitation,4,15,11,1.0,SR,SR,SR,0,0,0,1,16,15,11,0,0,1,0,1,0,0,0,0,0,0,0,,16,-1,0.9375,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,1,1,0.930886892785081,0.8264705882352942,0.5525,1.0,0.4,0.9099999999999999,0.25,0.0125,0.8264705882352942,0.5165441176470589,0.866797794117647,1.0,0.0,0.0,1.0,3,0.0,3.7721983056991313,Clarified
50,Coco Chanel,1,3,4,3,3,4,3,12,D,G,Growth/Global,4,14,10,0.75,PR,PR,PR,0,0,0,1,12,14,10,0,0,1,0,0,0,1,0,0,0,1,1,,12,2,1.166666666666667,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,1,1,0.9318406284163492,0.7928571428571429,0.78,0.8571428571428571,0.4,0.8949999999999999,0.375,0.0125,0.6795918367346939,0.5450892857142857,0.8717710459183674,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
51,Confucius,1,3,3,4,3,4,4,16,N,J,Journey/Transmission,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9323232881566625,0.8055555555555556,0.6875,1.0,0.4,0.835,0.25,0.0125,0.8055555555555556,0.5034722222222222,0.8743124999999999,2.0,0.0,0.0,2.0,1,0.0,0.8582437892919468,Clarified
