Case_ID,Case Name,Bio,Env,Cog,Id,Sym,C,Φ,Q=C×Φ,Mode,Ω,Integration Type,I,Load,Tension,κ,Outcome,Out(t₀),Out(late),Template_Deficit,FR Risk,Rescue,Walls,Q_calc,Load_calc,Tension_calc,FR_rule,Rescue_rule,Q_ge_12_rule,Q_le_6_rule,Phi_eq_4_rule,Low_C_low_Phi_rule,PR_rule_candidate,Is_FR_t0,Is_FR_late,Is_CR_t0,Is_PR_t0,Is_Clean_CR_PR,Ext,Q_predicted,Tension_predicted,kappa_predicted,Regime_Predicted,Regime_Predicted_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated,Regime_Actual_Normalized,Regime_Predicted_Normalized,Match_Default,Regime_Predicted_TwoLaws_Strict_Normalized,Match_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated_Normalized,Match_TwoLaws_Calibrated,Match,Domain,Reboot_Quality,Q_rho,SC,CID,ECC,ID,CAC,Frag,z
16,Alfred Wegener,1,2,4,2,2,3,3,9,D,G,Growth/Global,3,11,8,0.56,PR,PR,PR,0,0,0,1,9,11,8,0,0,0,0,0,0,1,0,0,0,1,1,,9,2,1.222222222222222,PR,PR,PR,PR,PR,True,PR,True,PR,True,True,atlas,1,0.7285488984806162,0.6,0.8181818181818182,0.6,0.95,0.1,0.4,0.49363636363636376
17,Angela of Foligno,3,2,2,4,4,3,3,9,V,B,Biological/Individual,4,15,12,0.56,SR,SR,SR,0,0,0,2,9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,1.666666666666667,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,atlas,1,0.789181706522253,0.4,0.6,0.8,0.95,0.7,0.1,0.66
18,Anita Moorjani,4,1,1,4,4,3,4,12,X,J,Journey/Transmission,4,14,11,0.75,CR,CR,CR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,1,0,1,,12,2,1.166666666666667,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,atlas,1,0.6508680818911454,0.6,0.8571428571428571,0.5,0.95,-0.3,0.7,0.3114285714285714
19,Ann Lee,2,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,14,11,0.56,MR,MR,MR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,3.0,9,5,1.555555555555556,MR,SR,MR,MR,MR,True,SR,False,MR,True,True,atlas,1,0.792019692682582,0.4,0.6428571428571429,0.8,0.95,0.7,0.1,0.6685714285714287
20,Anne Frank,1,4,3,3,3,3,3,9,T,J,Journey/Transmission,4,14,11,0.56,SR,SR,SR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,1.555555555555556,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.792019692682582,0.4,0.6428571428571429,0.8,0.95,0.7,0.1,0.6685714285714287
21,Antonio Gramsci,3,4,4,3,2,4,4,16,T,G,Growth/Global,4,16,12,1.0,PR,PR,PR,0,0,0,2,16,16,12,0,0,1,0,1,0,1,0,0,0,1,1,,16,0,1.0,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
22,Anwar Sadat,1,4,3,4,3,4,4,16,N,G,Growth/Global,4,15,11,1.0,MR,MR,MR,0,0,0,2,16,15,11,0,0,1,0,1,0,0,0,0,0,0,0,,16,-1,0.9375,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
23,Archimedes,1,1,4,2,2,4,4,16,D,G,Growth/Global,3,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
24,Arthur Koestler,2,4,4,4,3,3,4,12,T,G,Growth/Global,4,17,14,0.75,MR,MR,MR,0,0,0,2,12,17,14,0,0,1,0,1,0,0,0,0,0,0,0,,12,5,1.416666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,atlas,1,0.7895729082528943,0.4,0.7058823529411765,0.7,0.95,0.7,0.1,0.6611764705882354
25,August Kekulé,1,1,4,2,4,4,4,16,D,J,Journey/Transmission,4,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
26,Ayaan Hirsi Ali,1,3,4,4,2,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
27,Barbara McClintock,1,2,4,2,3,4,4,16,D,G,Growth/Global,4,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
28,Bayard Rustin,1,3,3,4,3,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
29,Beethoven,4,2,4,3,4,4,4,16,S,L,Loss/Limitation,4,17,13,1.0,SR,SR,SR,0,0,0,1,16,17,13,0,0,1,0,1,0,1,0,0,0,0,0,,16,1,1.0625,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,atlas,1,0.804784519651317,0.4,0.9411764705882353,0.7,0.95,0.7,0.1,0.708235294117647
30,Bernadette Soubirous,2,2,1,4,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,SR,SR,SR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,1.444444444444444,MR,SR,SR,SR,MR,False,SR,True,SR,True,False,atlas,1,0.7952591619892629,0.4,0.6923076923076923,0.8,0.95,0.7,0.1,0.6784615384615386
31,Beryl Markham,1,4,3,3,2,3,4,12,N,L,Loss/Limitation,3,13,10,0.75,SR,SR,SR,0,0,0,1,12,13,10,0,0,1,0,1,0,0,0,0,0,0,0,,12,1,1.083333333333333,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.8098800203913294,0.4,0.9230769230769231,0.8,0.95,0.7,0.1,0.7246153846153847
32,Black Elk,2,2,2,3,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,SR,SR,SR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,1.444444444444444,MR,SR,SR,SR,MR,False,SR,True,SR,True,False,atlas,1,0.7952591619892629,0.4,0.6923076923076923,0.8,0.95,0.7,0.1,0.6784615384615386
33,Blaise Pascal,3,1,4,4,4,4,4,16,A,J,Journey/Transmission,4,16,12,1.0,MR,MR,MR,0,0,0,3,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
34,Booker T. Washington,1,3,3,4,3,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
35,Buckminster Fuller,2,3,4,4,3,4,4,16,V,G,Growth/Global,4,16,12,1.0,PR,PR,PR,0,0,0,2,16,16,12,0,0,1,0,1,0,0,0,0,0,1,1,,16,0,1.0,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
36,Buddha,2,3,3,4,4,4,4,16,N,G,Growth/Global,4,16,12,1.0,CR,CR,CR,0,0,0,2,16,16,12,0,0,1,0,1,0,0,0,0,1,0,1,,16,0,1.0,CR,CR,CR,CR,CR,True,CR,True,CR,True,True,atlas,1,0.6456563062257954,0.6,1.0,0.3,0.95,-0.3,0.7,0.30000000000000004
37,Byron Katie,2,2,3,4,3,3,4,12,V,G,Growth/Global,4,14,11,0.75,CR,CR,CR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,1,0,1,,12,2,1.166666666666667,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,atlas,1,0.6508680818911454,0.6,0.8571428571428571,0.5,0.95,-0.3,0.7,0.3114285714285714
38,C.S. Lewis,1,1,4,4,3,4,4,16,N,B,Biological/Individual,4,13,9,1.0,MR,MR,MR,0,0,0,2,16,13,9,0,0,1,0,1,0,0,0,0,0,0,0,,16,-3,0.8125,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
39,Cardinal Richelieu,2,3,3,3,3,4,3,12,N,B,Biological/Individual,3,14,10,0.75,MR,MR,MR,0,0,0,1,12,14,10,0,0,1,0,0,0,0,0,0,0,0,0,,12,2,1.166666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,atlas,1,0.8057859355516407,0.4,0.8571428571428571,0.8,0.95,0.7,0.1,0.7114285714285714
40,Carl Jung,2,2,4,4,4,4,3,12,V,L,Loss/Limitation,4,16,12,0.75,SR,SR,SR,0,0,0,2,12,16,12,0,0,1,0,0,0,0,0,0,0,0,0,,12,4,1.333333333333333,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.7989910002494707,0.4,0.75,0.8,0.95,0.7,0.1,0.6900000000000001
41,Carl Linnaeus,1,1,4,2,2,4,4,16,D,G,Growth/Global,4,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
42,Catherine of Genoa,2,2,2,4,4,3,4,12,V,B,Biological/Individual,4,14,11,0.75,SR,SR,SR,0,0,0,2,12,14,11,0,0,1,0,1,0,0,0,0,0,0,0,,12,2,1.166666666666667,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.8057859355516407,0.4,0.8571428571428571,0.8,0.95,0.7,0.1,0.7114285714285714
43,Catherine of Siena,3,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,15,12,0.56,SR,SR,SR,0,0,0,2,9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,1.666666666666667,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,atlas,1,0.789181706522253,0.4,0.6,0.8,0.95,0.7,0.1,0.66
44,Charles Babbage,1,2,4,2,2,4,3,12,D,B,Biological/Individual,3,11,7,0.75,PR,PR,PR,0,0,0,1,12,11,7,0,0,1,0,0,0,1,0,0,0,1,1,,12,-1,0.9166666666666666,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
45,Charles Darwin,1,1,4,3,2,4,4,16,N,G,Growth/Global,4,11,7,1.0,PR,PR,PR,0,0,0,1,16,11,7,0,0,1,0,1,0,1,0,0,0,1,1,,16,-5,0.6875,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
46,Charles Manson,1,3,1,4,2,2,1,2,T,C,Chaos/Fragmentation,4,11,9,0.12,FR,FR,FR,1,1,0,3,2,11,9,1,0,0,1,0,1,0,1,1,0,0,0,,2,9,5.5,FR,FR,FR,FR,FR,True,FR,True,FR,True,True,atlas,0,0.5056815736258301,1.0,0.18181818181818182,0.5,0.6,-0.8,0.95,0.011363636363636409
47,Charles Steinmetz,4,2,4,3,2,4,4,16,S,L,Loss/Limitation,3,15,11,1.0,PR,PR,PR,0,0,0,1,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
48,Chris McCandless,2,4,2,4,3,2,2,4,T,C,Chaos/Fragmentation,4,15,13,0.25,FR,FR,FR,1,1,0,2,4,15,13,1,0,0,1,0,1,0,1,1,0,0,0,,4,11,3.75,FR,FR,FR,FR,FR,True,FR,True,FR,True,True,atlas,0,0.494166931312752,1.0,0.26666666666666666,0.3,0.6,-0.8,0.95,-0.011666666666666659
49,Christy Brown,4,2,3,3,3,4,4,16,S,L,Loss/Limitation,4,15,11,1.0,SR,SR,SR,0,0,0,1,16,15,11,0,0,1,0,1,0,0,0,0,0,0,0,,16,-1,0.9375,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
50,Coco Chanel,1,3,4,3,3,4,3,12,D,G,Growth/Global,4,14,10,0.75,PR,PR,PR,0,0,0,1,12,14,10,0,0,1,0,0,0,1,0,0,0,1,1,,12,2,1.166666666666667,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,atlas,1,0.7316199560257679,0.6,0.8571428571428571,0.6,0.95,0.1,0.4,0.5014285714285714
51,Confucius,1,3,3,4,3,4,4,16,N,J,Journey/Transmission,4,14,10,1.0,MR,MR,MR,0,0,0,1,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
52,Copernicus,1,2,4,2,3,4,4,16,D,G,Growth/Global,4,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
53,Dag Hammarskjöld,1,4,3,4,4,4,4,16,N,G,Growth/Global,4,16,12,1.0,MR,MR,MR,0,0,0,1,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
54,Daniel Tammet,4,1,4,3,3,3,4,12,X,L,Loss/Limitation,4,15,12,0.75,SR,SR,SR,0,0,0,1,12,15,12,0,0,1,0,1,0,1,0,0,0,0,0,,12,3,1.25,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.8021838885585818,0.4,0.8,0.8,0.95,0.7,0.1,0.7000000000000001
55,Dante,1,3,4,4,4,4,4,16,V,B,Biological/Individual,4,16,12,1.0,SR,SR,SR,0,0,0,3,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
56,David Ditchfield,4,1,1,4,4,3,3,9,X,J,Journey/Transmission,4,14,11,0.56,SR,SR,SR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,1.555555555555556,SR,CR,SR,SR,SR,True,CR,False,SR,True,True,atlas,1,0.792019692682582,0.4,0.6428571428571429,0.8,0.95,0.7,0.1,0.6685714285714287
57,David Koresh,1,2,2,4,2,2,1,2,V,C,Chaos/Fragmentation,4,11,9,0.12,FR,FR,FR,1,1,0,1,2,11,9,1,0,0,1,0,1,0,1,1,0,0,0,,2,9,5.5,FR,FR,FR,FR,FR,True,FR,True,FR,True,True,atlas,0,0.5056815736258301,1.0,0.18181818181818182,0.5,0.6,-0.8,0.95,0.011363636363636409
58,Derek Amato,4,1,2,3,4,3,3,9,X,L,Loss/Limitation,4,14,11,0.56,SR,SR,SR,0,0,0,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,1.555555555555556,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,atlas,1,0.792019692682582,0.4,0.6428571428571429,0.8,0.95,0.7,0.1,0.6685714285714287
59,Dietrich Bonhoeffer,1,4,4,4,3,4,4,16,T,J,Journey/Transmission,4,16,12,1.0,MR,MR,MR,0,0,0,2,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
60,Dmitri Mendeleev,1,1,4,2,3,4,4,16,D,G,Growth/Global,4,11,7,1.0,PR,PR,PR,0,0,0,1,16,11,7,0,0,1,0,1,0,1,0,0,0,1,1,,16,-5,0.6875,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
61,Dorothy Day,1,2,3,4,4,3,4,12,T,G,Growth/Global,4,14,11,0.75,MR,MR,MR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,0,0,0,,12,2,1.166666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,atlas,1,0.8057859355516407,0.4,0.8571428571428571,0.8,0.95,0.7,0.1,0.7114285714285714
62,Eben Alexander,4,1,1,4,4,3,4,12,X,J,Journey/Transmission,4,14,11,0.75,CR,CR,CR,0,0,0,1,12,14,11,0,0,1,0,1,0,0,0,0,1,0,1,,12,2,1.166666666666667,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,atlas,1,0.6508680818911454,0.6,0.8571428571428571,0.5,0.95,-0.3,0.7,0.3114285714285714
63,Eckhart Tolle,2,2,3,4,4,3,4,12,N,J,Journey/Transmission,4,15,12,0.75,CR,CR,CR,0,0,0,1,12,15,12,0,0,1,0,1,0,0,0,0,1,0,1,,12,3,1.25,CR,MR,CR,CR,CR,True,MR,False,CR,True,True,atlas,1,0.6271477663131956,0.6,0.8,0.3,0.95,-0.3,0.7,0.26
64,Edgar Allan Poe,3,2,4,3,4,2,2,4,S,L,Loss/Limitation,3,16,14,0.25,SR,SR,SR,0,0,0,1,4,16,14,0,0,0,1,0,1,1,0,0,0,0,0,,4,12,4.0,SR,FR,SR,SR,SR,True,FR,False,SR,True,True,atlas,1,0.7649478037637647,0.4,0.25,0.8,0.95,0.7,0.1,0.59
65,Edith Stein,1,3,4,4,4,4,4,16,T,J,Journey/Transmission,4,16,12,1.0,MR,MR,MR,0,0,0,1,16,16,12,0,0,1,0,1,0,0,0,0,0,0,0,,16,0,1.0,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
66,Elie Wiesel,3,4,3,4,3,3,4,12,T,J,Journey/Transmission,4,17,14,0.75,MR,MR,MR,0,0,0,1,12,17,14,0,0,1,0,1,0,0,0,0,0,0,0,,12,5,1.416666666666667,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,atlas,1,0.7895729082528943,0.4,0.7058823529411765,0.7,0.95,0.7,0.1,0.6611764705882354
67,Elizabeth Cady Stanton,1,3,4,4,2,4,4,16,T,G,Growth/Global,4,14,10,1.0,MR,MR,MR,0,0,0,2,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
68,Elon Musk,1,1,4,3,2,4,2,8,N,G,Growth/Global,3,11,7,0.5,PR,PR,PR,0,0,0,2,8,11,7,0,0,0,0,0,0,1,0,0,0,1,1,,8,3,1.375,PR,FR,PR,PR,PR,True,FR,False,PR,True,True,atlas,1,0.7212979667927076,0.6,0.7272727272727273,0.6,0.95,0.1,0.4,0.47545454545454546
69,Emanuel Swedenborg,2,1,4,4,4,3,3,9,V,J,Journey/Transmission,4,15,12,0.56,SR,SR,SR,0,0,0,1,9,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,1.666666666666667,SR,SR,SR,SR,SR,True,SR,True,SR,True,True,atlas,1,0.789181706522253,0.4,0.6,0.8,0.95,0.7,0.1,0.66
70,Emperor Constantine,1,2,2,3,4,3,3,9,V,J,Journey/Transmission,4,12,9,0.56,MR,MR,MR,0,0,0,1,9,12,9,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9,3,1.333333333333333,MR,SR,MR,MR,MR,True,SR,False,MR,True,True,atlas,1,0.7989910002494707,0.4,0.75,0.8,0.95,0.7,0.1,0.6900000000000001
